"date,""web_traffic"",""pageviews_percent"",""pageviews_per_user"",""bounce_percent"",""reach_percent"",""time_on_site"",""GT_zalando_schuhe.date"",""GT_zalando_schuhe.hits"""
2017-10-01,2965,5.23e-05,9.4,0.214,0.00022,540,2017-10-01,64
2017-10-02,2972,3.91e-05,8,0.257,0.00021,528,2017-10-02,68
2017-10-03,2975,5.56e-05,10,0.206,0.00023,647,2017-10-03,75
2017-10-04,2975,3.62e-05,8.3,0.263,0.00019,481,2017-10-04,91
2017-10-05,2977,4.45e-05,8.7,0.242,0.00022,565,2017-10-05,64
2017-10-06,2993,4.19e-05,8,0.246,0.00022,469,2017-10-06,65
2017-10-07,2985,4.44e-05,8.1,0.243,0.00021,517,2017-10-07,79
2017-10-08,2978,6.01e-05,9.3,0.237,0.00026,602,2017-10-08,89
2017-10-09,2984,4.18e-05,7.8,0.272,0.00024,510,2017-10-09,38
2017-10-10,2987,4.5e-05,8.1,0.23,0.00024,568,2017-10-10,55
2017-10-11,2989,4.8e-05,9.3,0.245,0.00022,577,2017-10-11,71
2017-10-12,2988,4.33e-05,9.2,0.218,2e-04,550,2017-10-12,42
2017-10-13,3003,3.81e-05,8.4,0.259,0.00019,519,2017-10-13,57
2017-10-14,3011,4.83e-05,8.9,0.244,0.00021,577,2017-10-14,58
2017-10-15,3004,5.01e-05,8,0.236,0.00025,542,2017-10-15,64
2017-10-16,3016,3.29e-05,6.9,0.226,0.00021,415,2017-10-16,39
2017-10-17,3027,4.03e-05,8.4,0.2,0.00021,572,2017-10-17,39
2017-10-18,3021,4.54e-05,8.6,0.221,0.00023,578,2017-10-18,43
2017-10-19,3017,4.69e-05,7.9,0.23,0.00025,560,2017-10-19,38
2017-10-20,3018,4.79e-05,8.9,0.228,0.00022,600,2017-10-20,41
2017-10-21,3010,5.37e-05,9.3,0.206,0.00023,700,2017-10-21,71
2017-10-22,3002,6.4e-05,9.2,0.251,0.00028,661,2017-10-22,54
2017-10-23,3003,4.64e-05,8.2,0.233,0.00025,541,2017-10-23,53
2017-10-24,3005,3.82e-05,7.6,0.24,0.00021,507,2017-10-24,50
2017-10-25,3017,4e-05,8.3,0.297,2e-04,578,2017-10-25,66
2017-10-26,3011,4.02e-05,7.6,0.277,0.00022,535,2017-10-26,37
2017-10-27,3004,3.62e-05,6.7,0.299,0.00022,446,2017-10-27,37
2017-10-28,3004,4.15e-05,8.3,0.253,0.00019,605,2017-10-28,60
2017-10-29,2995,5.26e-05,8.7,0.225,0.00023,603,2017-10-29,100
2017-10-30,2996,4.4e-05,8.4,0.227,0.00022,564,2017-10-30,64
2017-10-31,2999,4.29e-05,6.8,0.278,0.00024,484,2017-10-31,84
2017-11-01,3003,3.92e-05,5.9,0.327,2e-04,533,2017-11-01,53
2017-11-02,3001,3.84e-05,5.8,0.333,0.00021,428,2017-11-02,54
2017-11-03,3011,3.66e-05,8.2,0.232,0.00019,489,2017-11-03,48
2017-11-04,3016,4.1e-05,7.3,0.278,0.00022,520,2017-11-04,69
2017-11-05,3004,5.37e-05,8,0.263,0.00027,513,2017-11-05,94
2017-11-06,3000,4.35e-05,7.8,0.242,0.00025,440,2017-11-06,49
2017-11-07,2993,3.57e-05,6.3,0.245,0.00025,442,2017-11-07,51
2017-11-08,2989,3.98e-05,7.5,0.299,0.00023,507,2017-11-08,54
2017-11-09,2979,3.95e-05,7,0.277,0.00024,471,2017-11-09,45
2017-11-10,2975,4.41e-05,8.4,0.263,0.00022,504,2017-11-10,48
2017-11-11,2972,5.06e-05,9.6,0.215,0.00021,635,2017-11-11,74
2017-11-12,2958,5.6e-05,8.2,0.241,0.00028,581,2017-11-12,71
2017-11-13,2958,4.62e-05,8.6,0.282,0.00024,569,2017-11-13,66
2017-11-14,2958,4.42e-05,7.7,0.278,0.00025,469,2017-11-14,47
2017-11-15,2959,4e-05,7.7,0.27,0.00022,494,2017-11-15,62
2017-11-16,2953,4.51e-05,8.6,0.241,0.00022,606,2017-11-16,52
2017-11-17,2948,3.58e-05,7.1,0.282,0.00021,505,2017-11-17,60
2017-11-18,2945,5.44e-05,8.3,0.23,0.00026,574,2017-11-18,42
2017-11-19,2938,5.79e-05,8.6,0.213,0.00027,633,2017-11-19,75
2017-11-20,2940,4.48e-05,7.4,0.265,0.00027,480,2017-11-20,59
2017-11-21,2933,4.12e-05,7.5,0.217,0.00024,473,2017-11-21,45
2017-11-22,2932,4.95e-05,8.4,0.245,0.00025,516,2017-11-22,44
2017-11-23,2921,5.73e-05,7.3,0.251,0.00033,459,2017-11-23,39
2017-11-24,2876,0.000128,11,0.209,5e-04,752,2017-11-24,88
2017-11-25,2870,4.84e-05,7.6,0.256,0.00026,536,2017-11-25,41
2017-11-26,2860,4.58e-05,7,0.285,0.00027,448,2017-11-26,55
2017-11-27,2863,3.54e-05,6.5,0.271,0.00025,425,2017-11-27,42
2017-11-28,2860,3.73e-05,6.7,0.266,0.00025,425,2017-11-28,55
2017-11-29,2849,3.96e-05,7.5,0.282,0.00023,419,2017-11-29,45
2017-11-30,2831,4.67e-05,7.8,0.254,0.00026,492,2017-11-30,63
2017-12-01,2827,4.07e-05,7.3,0.246,0.00023,467,2017-12-01,43
2017-12-02,2831,3.97e-05,7.3,0.267,0.00021,492,2017-12-02,49
2017-12-03,2821,5.72e-05,8.1,0.259,0.00028,552,2017-12-03,72
2017-12-04,2813,4.01e-05,6.9,0.287,0.00026,409,2017-12-04,68
2017-12-05,2812,3.8e-05,6.9,0.254,0.00024,477,2017-12-05,39
2017-12-06,2809,4.56e-05,8.1,0.259,0.00024,507,2017-12-06,40
2017-12-07,2802,4.4e-05,6.9,0.247,0.00027,469,2017-12-07,45
2017-12-08,2797,4.19e-05,6.9,0.278,0.00025,491,2017-12-08,30
2017-12-09,2806,3.68e-05,6.9,0.282,0.00021,550,2017-12-09,61
2017-12-10,2799,5.88e-05,8.3,0.218,0.00028,578,2017-12-10,66
2017-12-11,2791,5.16e-05,8,0.282,0.00027,509,2017-12-11,54
2017-12-12,2788,5.41e-05,8.6,0.246,0.00026,501,2017-12-12,33
2017-12-13,2794,4.46e-05,7.6,0.257,0.00024,460,2017-12-13,63
2017-12-14,2794,4.93e-05,7.4,0.251,0.00027,447,2017-12-14,42
2017-12-15,2798,3.84e-05,7.7,0.224,2e-04,480,2017-12-15,24
2017-12-16,2802,4.94e-05,9.1,0.238,0.00021,652,2017-12-16,45
2017-12-17,2798,5.77e-05,8.6,0.222,0.00026,614,2017-12-17,41
2017-12-18,2796,4.08e-05,6.8,0.289,0.00025,419,2017-12-18,30
2017-12-19,2803,3.3e-05,7,0.266,0.00019,405,2017-12-19,21
2017-12-20,2807,2.68e-05,5.1,0.292,0.00021,335,2017-12-20,27
2017-12-21,2818,2.8e-05,6.6,0.242,0.00016,381,2017-12-21,26
2017-12-22,2828,2.89e-05,7,0.238,0.00015,409,2017-12-22,13
2017-12-23,2837,3e-05,7.4,0.26,0.00014,545,2017-12-23,29
2017-12-24,2840,3.2e-05,7.1,0.268,0.00016,448,2017-12-24,16
2017-12-25,2850,3.16e-05,7,0.253,0.00016,458,2017-12-25,29
2017-12-26,2853,4.51e-05,8.5,0.255,0.00021,756,2017-12-26,39
2017-12-27,2853,4.38e-05,8.1,0.246,0.00021,559,2017-12-27,36
2017-12-28,2849,4.59e-05,7.7,0.283,0.00024,528,2017-12-28,33
2017-12-29,2844,4.66e-05,8.6,0.204,0.00021,542,2017-12-29,32
2017-12-30,2848,4.35e-05,8,0.205,2e-04,572,2017-12-30,38
2017-12-31,2850,2.8e-05,6.3,0.235,0.00015,420,2017-12-31,16
2018-01-01,2849,5.39e-05,10,0.258,0.00019,710,2018-01-01,36
2018-01-02,2851,5.46e-05,10,0.177,0.00022,680,2018-01-02,33
2018-01-03,2856,4.79e-05,9.1,0.237,0.00022,601,2018-01-03,28
2018-01-04,2845,4.98e-05,8.4,0.245,0.00025,557,2018-01-04,54
2018-01-05,2847,3.94e-05,7,0.24,0.00023,526,2018-01-05,39
2018-01-06,2846,4.58e-05,8.1,0.238,0.00021,554,2018-01-06,33
2018-01-07,2843,4.65e-05,8,0.269,0.00022,572,2018-01-07,41
2018-01-08,2851,3.59e-05,6.8,0.26,0.00022,446,2018-01-08,42
2018-01-09,2853,3.96e-05,7.6,0.246,0.00021,472,2018-01-09,28
2018-01-10,2855,3.9e-05,7.9,0.289,2e-04,546,2018-01-10,43
2018-01-11,2859,4.51e-05,8.4,0.231,0.00022,548,2018-01-11,43
2018-01-12,2855,3.59e-05,6.6,0.277,0.00021,501,2018-01-12,31
2018-01-13,2848,4.94e-05,8.3,0.249,0.00022,555,2018-01-13,39
2018-01-14,2851,4.77e-05,8.7,0.247,0.00021,685,2018-01-14,48
2018-01-15,2853,4.16e-05,8.2,0.245,0.00021,609,2018-01-15,53
2018-01-16,2848,4.3e-05,7.7,0.269,0.00023,534,2018-01-16,37
2018-01-17,2846,4.01e-05,7.1,0.306,0.00023,501,2018-01-17,40
2018-01-18,2852,3.52e-05,6.9,0.276,2e-04,499,2018-01-18,26
2018-01-19,2861,3.79e-05,7.5,0.256,2e-04,468,2018-01-19,23
2018-01-20,2858,5e-05,9.4,0.258,2e-04,708,2018-01-20,42
2018-01-21,2858,5.68e-05,8.4,0.224,0.00026,555,2018-01-21,33
2018-01-22,2862,3.95e-05,7.3,0.243,0.00022,421,2018-01-22,35
2018-01-23,2875,3.82e-05,7.7,0.265,2e-04,503,2018-01-23,42
2018-01-24,2878,3.8e-05,7.3,0.234,0.00021,488,2018-01-24,48
2018-01-25,2874,3.62e-05,7.2,0.276,2e-04,519,2018-01-25,27
2018-01-26,2874,5.01e-05,8.8,0.268,0.00022,653,2018-01-26,57
2018-01-27,2874,5.17e-05,9.8,0.229,0.00019,695,2018-01-27,51
2018-01-28,2864,7.7e-05,11,0.214,0.00025,849,2018-01-28,40
2018-01-29,2889,3.62e-05,7.7,0.294,0.00019,498,2018-01-29,43
2018-01-30,2893,3.66e-05,7.2,0.291,2e-04,441,2018-01-30,32
2018-01-31,2899,3.54e-05,6.9,0.276,0.00021,475,2018-01-31,39
2018-02-01,2893,4.46e-05,7.2,0.255,0.00025,450,2018-02-01,31
2018-02-02,2879,3.65e-05,7.5,0.271,0.00019,530,2018-02-02,33
2018-02-03,2876,4.11e-05,7.3,0.253,0.00021,434,2018-02-03,42
2018-02-04,2869,5.27e-05,8.5,0.249,0.00023,561,2018-02-04,37
2018-02-05,2877,3.63e-05,7.2,0.295,0.00021,467,2018-02-05,37
2018-02-06,2880,3.66e-05,7.4,0.296,2e-04,436,2018-02-06,38
2018-02-07,2886,3.53e-05,7.2,0.251,2e-04,478,2018-02-07,31
2018-02-08,2885,4.27e-05,8.4,0.261,2e-04,522,2018-02-08,27
2018-02-09,2891,3.4e-05,7.5,0.273,0.00017,493,2018-02-09,31
2018-02-10,2890,4.74e-05,9.3,0.21,0.00019,619,2018-02-10,46
2018-02-11,2892,5.92e-05,11,0.205,0.00021,702,2018-02-11,50
2018-02-12,2898,4.3e-05,7.8,0.243,0.00022,528,2018-02-12,25
2018-02-13,2904,3.21e-05,6.7,0.269,0.00019,466,2018-02-13,33
2018-02-14,2908,3.64e-05,7.5,0.245,0.00019,438,2018-02-14,27
2018-02-15,2914,4.19e-05,8.7,0.233,0.00019,579,2018-02-15,32
2018-02-16,2922,3.65e-05,8,0.239,0.00017,493,2018-02-16,23
2018-02-17,2925,3.63e-05,6.9,0.216,0.00019,468,2018-02-17,57
2018-02-18,2928,6.37e-05,11,0.189,0.00021,762,2018-02-18,42
2018-02-19,2943,4.02e-05,8.4,0.244,0.00019,524,2018-02-19,23
2018-02-20,2963,4.26e-05,9.4,0.232,0.00018,589,2018-02-20,30
2018-02-21,2966,4.1e-05,8.7,0.25,0.00019,553,2018-02-21,35
2018-02-22,2973,4.5e-05,8.7,0.252,2e-04,570,2018-02-22,35
2018-02-23,3000,3.06e-05,6.5,0.225,0.00018,392,2018-02-23,36
2018-02-24,3073,3.21e-05,7.7,0.254,0.00015,521,2018-02-24,45
2018-02-25,3086,4.54e-05,8.5,0.22,2e-04,627,2018-02-25,58
2018-02-26,3108,3.32e-05,7.3,0.261,0.00018,431,2018-02-26,51
2018-02-27,3110,3.85e-05,8.7,0.278,0.00018,609,2018-02-27,38
2018-02-28,3118,3.97e-05,8.6,0.27,0.00018,555,2018-02-28,36